zip,county
00501,36103
00601,72113
00601,72001
00602,72003
00602,72005
00603,72071
00603,72005
00604,72005
00605,72005
00606,72093
00610,72011
00611,72141
00612,72013
00612,72065
00612,72141
00612,72054
00613,72013
00614,72013
00616,72013
00617,72017
00617,72054
00622,72023
00623,72097
00623,72023
00624,72111
00624,72113
00624,72059
00627,72027
00631,72081
00637,72121
00638,72107
00638,72039
00641,72113
00641,72141
00646,72135
00646,72137
00646,72051
00647,72121
00647,72055
00650,72017
00650,72013
00650,72054
00650,72091
00652,72013
00653,72055
00653,72153
00656,72059
00659,72065
00659,72013
00660,72097
00660,72067
00662,72071
00662,72115
00664,72073
00667,72079
00669,72081
00670,72083
00674,72091
00674,72145
00676,72099
00677,72011
00677,72117
00678,72115
00680,72097
00680,72023
00681,72097
00682,72097
00683,72097
00683,72125
00685,72131
00687,72145
00687,72143
00687,72091
00687,72101
00688,72013
00690,72071
00690,72005
00692,72143
00692,72101
00693,72145
00693,72091
00694,72145
00698,72121
00698,72153
00703,72025
00703,72007
00704,72123
00705,72043
00705,72009
00705,72035
00707,72095
00714,72015
00715,72113
00716,72113
00717,72113
00718,72103
00719,72105
00719,72127
00720,72101
00720,72107
00720,72075
00721,72119
00723,72025
00723,72109
00725,72129
00725,72025
00725,72041
00725,72063
00725,72127
00726,72025
00727,72025
00728,72113
00729,72063
00729,72031
00729,72087
00729,72029
00730,72113
00731,72113
00732,72113
00733,72113
00735,72053
00735,72037
00735,72119
00736,72025
00736,72035
00737,72035
00738,72053
00739,72041
00739,72035
00739,72025
00740,72053
00741,72069
00742,72037
00744,72103
00745,72119
00745,72029
00751,72123
00751,72133
00754,72129
00754,72035
00754,72025
00757,72133
00765,72147
00766,72149
00766,72075
00767,72151
00769,72043
00771,72129
00771,72103
00771,72085
00772,72087
00773,72089
00775,72049
00777,72077
00777,72063
00778,72129
00778,72033
00778,72139
00778,72025
00778,72063
00778,72127
00780,72113
00782,72127
00782,72045
00783,72135
00783,72047
00784,72057
00785,72057
00786,72009
00791,72069
00792,72069
00794,72019
00794,72047
00795,72113
00795,72075
00802,78030
00820,78010
00830,78020
00840,78010
00850,78010
00901,72127
00902,72127
00907,72127
00908,72127
00909,72033
00909,72127
00910,72127
00911,72127
00912,72127
00913,72127
00914,72127
00915,72127
00916,72127
00917,72127
00917,72061
00918,72127
00919,72127
00920,72061
00920,72127
00921,72127
00921,72031
00921,72021
00922,72061
00923,72127
00924,72127
00924,72021
00924,72031
00925,72127
00926,72031
00926,72061
00926,72021
00926,72025
00926,72127
00926,72033
00926,72139
00927,72127
00928,72127
00929,72127
00931,72127
00934,72061
00934,72021
00935,72127
00936,72127
00937,72031
00940,72127
00949,72137
00949,72051
00949,72135
00950,72137
00951,72137
00952,72137
00953,72135
00953,72021
00953,72137
00954,72135
00956,72127
00956,72025
00956,72033
00956,72021
00956,72139
00957,72021
00957,72135
00957,72033
00957,72127
00957,72139
00958,72021
00959,72021
00959,72127
00959,72061
00959,72139
00960,72021
00961,72021
00961,72033
00961,72139
00961,72127
00962,72033
00962,72139
00962,72061
00962,72021
00962,72127
00963,72033
00965,72127
00965,72061
00966,72127
00966,72061
00968,72127
00968,72061
00969,72021
00969,72127
00969,72139
00969,72061
00970,72061
00971,72061
00975,72127
00976,72021
00976,72033
00976,72139
00976,72127
00976,72031
00977,72033
00979,72031
00981,72031
00982,72031
00983,72031
00984,72031
00985,72031
00986,72031
00987,72139
00987,72031
00987,72127
00987,72029
00988,72031
01001,25013
01002,25011
01002,25015
01003,25015
01004,25015
01005,25027
01007,25015
01008,25013
01008,25003
01009,25013
01010,25027
01010,25013
01011,25013
01011,25015
01012,25015
01013,25013
01014,25013
01020,25013
01021,25013
01022,25013
01026,25003
01026,25015
01027,25015
01028,25013
01029,25003
01030,25013
01031,25027
01032,25011
01032,25015
01033,25015
01033,25013
01034,25013
01035,25015
01036,25013
01037,25027
01038,25015
01039,25015
01039,25011
01040,25013
01041,25013
01050,25013
01050,25015
01053,25015
01054,25011
01056,25013
01057,25013
01059,25015
01060,25015
01061,25015
01062,25015
01063,25015
01066,25015
01068,25027
01069,25015
01069,25013
01070,25015
01070,25003
01070,25011
01071,25013
01072,25011
01073,25015
01073,25013
01074,25027
01075,25015
01077,25013
01079,25013
01080,25013
01081,25013
01082,25015
01082,25027
01082,25013
01083,25027
01084,25015
01085,25013
01088,25015
01089,25013
01090,25013
01092,25027
01093,25011
01094,25027
01095,25013
01096,25011
01096,25015
01097,25013
01098,25015
01101,25013
01103,25013
01104,25013
01105,25013
01106,25013
01107,25013
01108,25013
01109,25013
01111,25013
01115,25013
01116,25013
01118,25013
01119,25013
01128,25013
01129,25013
01138,25013
01139,25013
01144,25013
01151,25013
01152,25013
01199,25013
01201,25003
01202,25003
01220,25003
01222,25003
01223,25003
01223,25013
01224,25003
01225,25003
01226,25003
01227,25003
01229,25003
01230,25003
01235,25015
01235,25003
01236,25003
01237,25003
01238,25003
01240,25003
01242,25003
01243,25015
01244,25003
01245,25003
01247,25003
01247,25011
01252,25003
01253,25003
01254,25003
01255,25003
01256,25003
01257,25003
01258,25003
01259,25003
01260,25003
01262,25003
01263,25003
01264,25003
01266,25003
01267,25003
01270,25003
01301,25011
01302,25011
01330,25015
01330,25011
01331,25027
01331,25011
01337,25011
01338,25011
01339,25011
01340,25011
01341,25011
01342,25011
01343,25003
01343,25011
01344,25011
01346,25011
01347,25011
01349,25011
01350,25011
01351,25011
01354,25011
01355,25011
01360,25011
01364,25027
01364,25011
01366,25027
01367,25003
01367,25011
01368,25027
01370,25011
01373,25011
01375,25011
01376,25011
01378,25011
01379,25011
01380,25011
01420,25027
01430,25027
01431,25027
01431,25017
01432,25017
01434,25027
01434,25017
01436,25027
01438,25027
01440,25027
01441,25027
01450,25017
01451,25017
01451,25027
01452,25027
01453,25027
01460,25017
01460,25027
01462,25017
01462,25027
01463,25017
01464,25017
01467,25027
01468,25027
01469,25017
01472,25017
01473,25027
01474,25017
01475,25027
01501,25027
01503,25027
01504,25027
01504,25021
01505,25027
01506,25027
01507,25027
01508,25027
01509,25027
01510,25027
01515,25027
01516,25027
01518,25027
01519,25027
01520,25027
01521,25013
01522,25027
01523,25027
01524,25027
01525,25027
01526,25027
01527,25027
01529,25027
01531,25027
01532,25017
01532,25027
01534,25027
01535,25027
01536,25027
01537,25027
01538,25027
01540,25027
01541,25027
01542,25027
01543,25027
01545,25027
01546,25027
01550,25027
01560,25027
01561,25027
01562,25027
01564,25027
01566,25027
01568,25027
01569,25027
01570,25027
01571,25027
01581,25027
01583,25027
01585,25027
01586,25027
01588,25027
01590,25027
01601,25027
01602,25027
01603,25027
01604,25027
01605,25027
01606,25027
01607,25027
01608,25027
01609,25027
01610,25027
01611,25027
01612,25027
01613,25027
01614,25027
01653,25027
01655,25027
01701,25017
01702,25017
01703,25017
01704,25017
01718,25017
01719,25017
01720,25017
01721,25017
01730,25017
01731,25017
01740,25027
01741,25017
01742,25017
01745,25027
01746,25017
01746,25021
01747,25027
01748,25027
01748,25017
01749,25027
01749,25017
01752,25017
01754,25017
01756,25027
01756,25021
01757,25027
01760,25017
01760,25021
01770,25017
01772,25027
01773,25017
01775,25017
01776,25017
01778,25017
01784,25017
01801,25017
01803,25017
01805,25017
01810,25017
01810,25009
01812,25009
01821,25017
01822,25017
01824,25017
01826,25017
01826,25009
01827,25017
01830,25009
01831,25009
01832,25009
01833,25009
01834,25009
01835,25009
01840,25009
01841,25009
01842,25009
01843,25009
01844,25009
01845,25009
01850,25017
01851,25017
01852,25017
01853,25017
01854,25017
01860,25009
01862,25017
01863,25017
01864,25017
01865,25017
01866,25017
01867,25017
01876,25009
01876,25017
01879,25017
01880,25017
01880,25009
01885,25009
01886,25017
01887,25017
01888,25017
01889,25017
01890,25017
01899,25009
01901,25009
01902,25009
01903,25009
01904,25009
01905,25009
01906,25009
01906,25017
01906,25025
01907,25009
01908,25009
01910,25009
01913,25009
01915,25009
01921,25009
01922,25009
01923,25009
01929,25009
01930,25009
01931,25009
01936,25009
01937,25009
01938,25009
01940,25009
01944,25009
01945,25009
01949,25009
01950,25009
01951,25009
01952,25009
01960,25009
01961,25009
01965,25009
01966,25009
01969,25009
01970,25009
01971,25009
01982,25009
01983,25009
01984,25009
01985,25009
02018,25023
02019,25021
02020,25023
02021,25021
02025,25021
02025,25023
02026,25025
02026,25021
02027,25021
02030,25021
02030,25017
02032,25021
02035,25021
02038,25021
02041,25023
02043,25023
02043,25021
02044,25023
02045,25023
02047,25023
02048,25021
02048,25005
02050,25023
02051,25023
02052,25021
02053,25021
02054,25021
02056,25021
02059,25023
02060,25023
02061,25023
02062,25021
02065,25023
02066,25023
02066,25021
02067,25021
02070,25021
02071,25021
02072,25021
02081,25021
02090,25021
02093,25021
02108,25025
02109,25025
02110,25025
02111,25025
02112,25025
02113,25025
02114,25025
02115,25025
02116,25025
02117,25025
02118,25025
02119,25025
02120,25025
02121,25025
02122,25025
02123,25025
02124,25025
02125,25025
02126,25025
02127,25025
02128,25025
02129,25025
02130,25021
02130,25025
02131,25025
02132,25025
02133,25025
02134,25025
02135,25025
02135,25021
02136,25021
02136,25025
02137,25025
02138,25017
02139,25017
02140,25017
02141,25017
02142,25017
02143,25017
02144,25017
02145,25017
02148,25025
02148,25017
02149,25017
02149,25025
02150,25025
02150,25017
02151,25025
02151,25017
02152,25025
02155,25017
02163,25025
02169,25021
02170,25021
02171,25021
02176,25009
02176,25017
02180,25017
02184,25021
02185,25021
02186,25025
02186,25021
02188,25021
02189,25021
02189,25023
02190,25021
02191,25021
02196,25025
02199,25025
02201,25025
02203,25025
02205,25025
02210,25025
02215,25021
02215,25025
02217,25025
02222,25025
02238,25017
02269,25021
02301,25023
02302,25023
02302,25021
02303,25023
02304,25023
02305,25023
02322,25021
02324,25023
02325,25023
02327,25023
02330,25023
02331,25023
02332,25023
02333,25023
02334,25005
02337,25023
02338,25023
02339,25023
02341,25023
02343,25021
02344,25023
02345,25023
02346,25023
02347,25023
02347,25005
02348,25023
02349,25023
02350,25023
02351,25023
02355,25023
02356,25005
02356,25021
02357,25005
02358,25023
02359,25023
02360,25001
02360,25023
02361,25023
02362,25023
02364,25023
02366,25023
02367,25023
02368,25021
02370,25023
02375,25005
02375,25023
02379,25023
02381,25023
02382,25023
02420,25017
02421,25017
02445,25025
02445,25021
02446,25021
02446,25025
02447,25021
02451,25017
02452,25017
02453,25017
02454,25017
02455,25017
02458,25017
02458,25025
02459,25017
02460,25017
02461,25017
02462,25017
02464,25017
02465,25017
02466,25017
02467,25017
02467,25021
02467,25025
02468,25017
02471,25017
02472,25017
02474,25017
02476,25017
02477,25017
02478,25017
02481,25021
02482,25021
02492,25021
02493,25017
02494,25021
02532,25023
02532,25001
02534,25001
02535,25007
02536,25001
02537,25001
02538,25023
02539,25007
02540,25001
02541,25001
02542,25001
02543,25001
02552,25007
02553,25001
02554,25019
02556,25001
02557,25007
02558,25023
02559,25001
02561,25001
02562,25001
02563,25001
02564,25019
