"count","zip"
"9","10100"
"24","10110"
"4","10120"
"19","10130"
"22","10140"
"11","10150"
"11","10160"
"14","10170"
"2","10180"
"13","10190"
"36","10200"
"23","10210"
"10","10220"
"17","10240"
"5","10250"
"10","10260"
"8","10270"
"3","10280"
"11","10290"
"3","10300"
"4","10310"
"15","10320"
"12","10330"
"6","10340"
"7","10350"
"6","10360"
"4","10380"
"2","10390"
"23","10400"
"4","10410"
"2","10440"
"36","10500"
"3","10510"
"6","10600"
"28","10700"
"13","10800"
"2","11000"
"3","11100"
"4","11110"
"12","11120"
"26","11140"
"5","11150"
"10","11160"
"12","11170"
"18","11190"
"23","11200"
"20","11220"
"13","11230"
"19","11240"
"15","11250"
"4","11260"
"15","11270"
"6","11290"
"28","11300"
"4","11310"
"7","11320"
"20","11330"
"6","11340"
"6","11350"
"10","11360"
"7","11380"
"6","11390"
"21","11400"
"14","11410"
"11","11420"
"12","11500"
"4","11510"
"5","11570"
"7","11580"
"3","11590"
"16","11600"
"2","11610"
"14","11700"
"14","11800"
"4","12000"
"5","12100"
"3","12110"
"9","12120"
"6","12130"
"7","12140"
"6","12160"
"7","12170"
"4","12190"
"11","12200"
"6","12210"
"8","12220"
"8","12230"
"6","12240"
"5","12250"
"12","12260"
"5","12270"
"7","12290"
"9","12300"
"5","12310"
"4","12320"
"8","12330"
"4","12340"
"7","12350"
"10","12360"
"5","12370"
"6","12380"
"8","12390"
"9","12400"
"2","12410"
"2","12420"
"5","12430"
"3","12440"
"3","12450"
"5","12460"
"3","12470"
"3","12480"
"5","12490"
"6","12500"
"2","12510"
"4","12520"
"5","12540"
"7","12550"
"3","12560"
"2","12580"
"6","12600"
"3","12620"
"2","12630"
"2","12640"
"5","12700"
"4","12720"
"2","12740"
"2","12780"
"9","12800"
"2","12850"
"5","13100"
"2","13103"
"3","13150"
"2","13250"
"2","13330"
"3","13520"
"2","13600"
"2","13610"
"2","13670"
"2","13720"
"2","13780"
"3","13790"
"23","14100"
"3","14110"
"2","14112"
"2","14113"
"3","14117"
"3","14123"
"28","14130"
"9","14140"
"4","14160"
"11","14170"
"14","14190"
"20","14210"
"20","14220"
"10","14230"
"9","14240"
"18","14250"
"10","14260"
"6","14270"
"3","14280"
"8","14290"
"13","14310"
"6","14320"
"10","14330"
"21","14340"
"3","14350"
"9","14370"
"7","14380"
"3","14390"
"32","14400"
"5","14420"
"18","14430"
"4","14440"
"3","14450"
"3","14470"
"9","14480"
"12","14490"
"2","14500"
"2","14510"
"3","14520"
"6","14540"
"5","14570"
"4","14590"
"9","14600"
"9","14610"
"9","14620"
"3","14630"
"3","14640"
"7","14670"
"4","14680"
"11","14690"
"21","14700"
"16","14710"
"6","14740"
"5","14770"
"3","14790"
"8","14800"
"2","14810"
"2","14840"
"2","14850"
"4","14860"
"2","14880"
"2","14910"
"3","14930"
"3","14940"
"4","14950"
"3","14960"
"2","14970"
"2","15000"
"17","15100"
"12","15110"
"9","15120"
"15","15130"
"13","15140"
"13","15150"
"5","15160"
"8","15170"
"9","15190"
"8","15200"
"2","15210"
"5","15220"
"10","15230"
