"sum","total","zip"
"2671","2670","01500"
"750","749","01500"
"1118","1119","01350"
"640","639","01300"
"460","461","01190"
"25","26","01510"
"62","63","01570"
"3261","3262","01340"
"2820","2819","01360"
"3596","3595","01100"
"16229","16228","01200"
"317","316","01130"
"1298","1297","01260"
"4531","4530","01700"
"604","603","01200"
"854","853","01290"
"1322","1320","01800"
"850","849","01300"
"988","987","01470"
"1758","1757","01310"
"251","252","01430"
"4815","4814","01170"
"1293","1292","01480"
"822","823","01260"
"728","729","01410"
"633","632","01420"
"2070","2071","01500"
"4855","4856","01400"
"748","747","01190"
"1003","1002","01660"
"1638","1636","01170"
"230","229","01200"
"230","229","01410"
"169","170","01250"
"130","131","01300"
"415","414","01430"
"147","146","01300"
"1248","1249","01420"
"656","657","01560"
"622","623","01250"
"308","309","01560"
"262","263","01320"
"394","393","01350"
"866","865","01290"
"866","865","01750"
"2123","2122","01170"
"3041","3040","01350"
"441","440","01560"
"9444","9443","01220"
"1159","1158","01240"
"479","480","01270"
"144","145","01230"
"1009","1010","01550"
"3244","3245","01570"
"9598","9597","01210"
"2055","2054","01340"
"1566","1565","01090"
"1034","1035","01460"
"885","886","01100"
"12608","12609","01170"
"179","180","01130"
"173","174","01250"
"1872","1873","01290"
"806","807","01220"
"781","782","01250"
"4816","4817","01110"
"613","614","01140"
"99","98","01680"
"161","162","01430"
"274","273","01800"
"2171","2172","01640"
"128","127","01350"
"719","718","01200"
"1410","1409","01240"
"153","152","01450"
"170","169","01680"
"3137","3136","01360"
"638","639","01300"
"1183","1184","01340"
"311","310","01560"
"172","173","01300"
"2505","2506","01600"
"893","892","01250"
"9694","9693","01700"
"339","340","01200"
"3805","3804","01090"
"2444","2445","01340"
"635","634","01130"
"119","118","01230"
"145","146","01510"
"22475","22474","01100"
"1180","1179","01600"
"791","790","01120"
"553","552","01330"
"160","161","01350"
"1690","1689","01450"
"2898","2899","01160"
"2280","2281","01190"
"1611","1610","01290"
"45","46","01110"
"7970","7971","01280"
"1699","1698","01160"
"322","321","01250"
"722","723","01390"
"3695","3696","01750"
"183","184","01260"
"742","741","01380"
"598","599","01290"
"1125","1124","01960"
"565","566","01120"
"5650","5649","01000"
"1936","1937","01600"
"450","451","01800"
"567","568","01190"
"11861","11860","01630"
"1712","1711","01630"
"1743","1744","01750"
"1293","1294","01390"
"1059","1058","01430"
"786","787","01310"
"2298","2299","01230"
"1095","1093","01560"
"278","279","01270"
"1020","1019","01220"
"2012","2011","01170"
"137","138","01470"
