zip,city,state,county
25300,STE COLOMBE,BOURGOGNE-FRANCHE-COMTE,25
80680,RUMIGNY,NORD-PAS-DE-CALAIS-PICARDIE,80
74910,BASSY,AUVERGNE-RHONE-ALPES,74
38350,PONSONNAS,AUVERGNE-RHONE-ALPES,38
3390,ST BONNET DE FOUR,AUVERGNE-RHONE-ALPES,3
6530,ST CEZAIRE SUR SIAGNE,PROVENCE-ALPES-COTE D'AZUR,6
54540,VENEY,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,54
39350,SALIGNEY,BOURGOGNE-FRANCHE-COMTE,39
64160,BARINQUE,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,64
33370,ARTIGUES PRES BORDEAUX,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,33
71700,UCHIZY,BOURGOGNE-FRANCHE-COMTE,71
37350,PAULMY,CENTRE-VAL DE LOIRE,37
79200,LAGEON,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,79
62131,VAUDRICOURT,NORD-PAS-DE-CALAIS-PICARDIE,62
19190,MENOIRE,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,19
70300,ORMOICHE,BOURGOGNE-FRANCHE-COMTE,70
80270,HEUCOURT CROQUOISON,NORD-PAS-DE-CALAIS-PICARDIE,80
73000,MONTAGNOLE,AUVERGNE-RHONE-ALPES,73
32550,MONTEGUT,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,32
62149,ANNEQUIN,NORD-PAS-DE-CALAIS-PICARDIE,62
4170,MORIEZ,PROVENCE-ALPES-COTE D'AZUR,4
9240,MONTSERON,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,9
69210,EVEUX,AUVERGNE-RHONE-ALPES,69
64190,LAY LAMIDOU,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,64
62380,WAVRANS SUR L AA,NORD-PAS-DE-CALAIS-PICARDIE,62
55230,ROUVROIS SUR OTHAIN,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,55
21130,TILLENAY,BOURGOGNE-FRANCHE-COMTE,21
80160,FOSSEMANANT,NORD-PAS-DE-CALAIS-PICARDIE,80
22340,PAULE,BRETAGNE,22
38590,PLAN,AUVERGNE-RHONE-ALPES,38
18350,ST HILAIRE DE GONDILLY,CENTRE-VAL DE LOIRE,18
16140,MONS,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,16
35210,PARCE,BRETAGNE,35
50330,CARNEVILLE,NORMANDIE,50
26150,CHAMALOC,AUVERGNE-RHONE-ALPES,26
8140,DOUZY,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,8
62140,RAYE SUR AUTHIE,NORD-PAS-DE-CALAIS-PICARDIE,62
68990,HEIMSBRUNN,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,68
39290,CHAMPAGNEY,BOURGOGNE-FRANCHE-COMTE,39
64390,ORRIULE,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,64
69870,ST CYR LE CHATOUX,AUVERGNE-RHONE-ALPES,69
69300,CALUIRE ET CUIRE,AUVERGNE-RHONE-ALPES,69
4120,PEYROULES,PROVENCE-ALPES-COTE D'AZUR,4
23250,LA CHAPELLE ST MARTIAL,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,23
53100,ST GEORGES BUTTAVENT,PAYS DE LA LOIRE,53
29400,LOC EGUINER,BRETAGNE,29
36220,PREUILLY LA VILLE,CENTRE-VAL DE LOIRE,36
70270,ECROMAGNY,BOURGOGNE-FRANCHE-COMTE,70
35140,ST HILAIRE DES LANDES,BRETAGNE,35
56120,LANTILLAC,BRETAGNE,56
32220,GAUJAC,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,32
66170,ST FELIU D AMONT,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,66
22700,PERROS GUIREC,BRETAGNE,22
57370,HANGVILLER,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,57
16200,FLEURAC,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,16
59169,GOEULZIN,NORD-PAS-DE-CALAIS-PICARDIE,59
30700,FLAUX,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,30
67440,THAL MARMOUTIER,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,67
23000,PEYRABOUT,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,23
38150,CHANAS,AUVERGNE-RHONE-ALPES,38
44730,ST MICHEL CHEF CHEF,PAYS DE LA LOIRE,44
35520,MELESSE,BRETAGNE,35
37190,RIVARENNES,CENTRE-VAL DE LOIRE,37
67370,DINGSHEIM,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,67
35320,LALLEU,BRETAGNE,35
25150,ECURCEY,BOURGOGNE-FRANCHE-COMTE,25
52260,MARAC,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,52
21320,SEMAREY,BOURGOGNE-FRANCHE-COMTE,21
61600,ST GEORGES D ANNEBECQ,NORMANDIE,61
21460,EPOISSES,BOURGOGNE-FRANCHE-COMTE,21
16140,LES GOURS,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,16
49520,LE BOURG D IRE,PAYS DE LA LOIRE,49
90300,ELOIE,BOURGOGNE-FRANCHE-COMTE,90
26730,LA BAUME D HOSTUN,AUVERGNE-RHONE-ALPES,26
56700,BRANDERION,BRETAGNE,56
24520,ST SAUVEUR,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,24
76460,MANNEVILLE ES PLAINS,NORMANDIE,76
81110,ST AMANCET,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,81
57590,JUVILLE,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,57
62270,BLANGERVAL BLANGERMONT,NORD-PAS-DE-CALAIS-PICARDIE,62
35330,LA CHAPELLE BOUEXIC,BRETAGNE,35
11700,ST COUAT D AUDE,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,11
73800,LAISSAUD,AUVERGNE-RHONE-ALPES,73
47800,AGNAC,AQUITAINE-LIMOUSIN-POITOU-CHARENTES,47
6260,LA ROCHETTE,PROVENCE-ALPES-COTE D'AZUR,4
35630,LES IFFS,BRETAGNE,35
69510,RONTALON,AUVERGNE-RHONE-ALPES,69
62217,MERCATEL,NORD-PAS-DE-CALAIS-PICARDIE,62
9500,RIEUCROS,LANGUEDOC-ROUSSILLON-MIDI-PYRENEES,9
67220,NEUVE EGLISE,ALSACE-CHAMPAGNE-ARDENNE-LORRAINE,67
85230,ST GERVAIS,PAYS DE LA LOIRE,85
