"20","40","60","zip","total","0","80","county"
"4560","4537","3313","00601","17599","4512","677","72001"
"10353","10751","7735","00602","39209","8933","1437","72005"
"12775","12487","10881","00603","50135","11950","2042","72005"
"1353","1814","1374","00606","6304","1515","248","72093"
"6761","7539","5913","00610","27590","6436","941","72011"
"15103","16165","13304","00612","62566","14983","3011","72054"
"2920","2909","2243","00616","10687","1969","646","72013"
"6605","5979","4842","00617","24508","6129","953","72054"
"1405","2096","1843","00622","7405","1486","575","72023"
"10392","11003","9098","00623","42321","9907","1921","72023"
"6387","5691","4401","00624","23238","6171","588","72059"
"8653","8589","6773","00627","32936","7769","1152","72027"
"408","398","407","00631","1555","217","125","72081"
"5668","5962","5249","00637","23610","5703","1028","72121"
"4280","4299","3620","00638","17202","4264","739","72039"
"6980","7333","6247","00641","28332","6640","1132","72141"
"9376","10376","6925","00646","38008","9991","1340","72051"
"1290","1413","1567","00647","5610","1051","289","72055"
"3716","3651","2879","00650","14664","3848","570","72091"
"886","941","632","00652","3681","1057","165","72013"
"2970","2627","2594","00653","11717","3145","381","72153"
"4762","4955","4125","00656","19546","4935","769","72059"
"10410","11111","8345","00659","40978","9534","1578","72013"
"3550","4211","4183","00660","16474","3483","1047","72067"
"10558","10857","8367","00662","41341","9670","1889","72115"
"3987","3808","2885","00664","15396","4181","535","72073"
"5819","5979","5631","00667","24089","5337","1323","72079"
"6653","7125","5486","00669","26510","6252","994","72081"
"2253","2147","1860","00670","8797","2127","410","72083"
"9916","10614","8447","00674","40826","9996","1853","72145"
"9958","10018","7106","00676","37862","9620","1160","72099"
"3416","3854","3678","00677","14569","3107","514","72117"
"7089","7176","4986","00678","26642","6444","947","72115"
"13042","10781","11072","00680","48035","10197","2943","72023"
"9029","7055","6760","00682","32820","8316","1660","72097"
"7440","7999","7167","00683","31627","7350","1671","72125"
"9266","9456","9119","00685","38849","9048","1960","72131"
"8924","8443","5069","00687","31785","8360","989","72101"
"3589","3166","2749","00688","12360","2456","400","72013"
"1327","1351","1311","00690","5587","1256","342","72005"
"9806","9131","6513","00692","36218","9455","1313","72101"
"14547","14810","10769","00693","56327","13573","2628","72091"
"0","0","77","00694","88","0","11","72145"
"8816","10638","7545","00698","37493","8731","1763","72153"
"7012","7289","5261","00703","27137","6500","1075","72007"
"2215","2053","1299","00704","7842","2172","103","72123"
"6228","6123","4945","00705","23831","5501","1034","72035"
"2472","3108","2528","00707","11240","2646","486","72095"
"4692","4467","3741","00714","18363","4762","701","72015"
"873","802","999","00715","3645","890","81","72113"
"7225","6732","6923","00716","29191","6723","1588","72113"
"4495","3606","3397","00717","17285","4612","1175","72113"
"7315","5991","4566","00718","26073","7007","1194","72103"
"7851","7783","5630","00719","29684","7252","1168","72127"
"5628","5985","3593","00720","21753","5733","814","72075"
"4093","5154","3795","00723","17826","4112","672","72109"
"21222","21182","16830","00725","82822","19750","3838","72127"
"15386","14661","10478","00727","56023","13363","2135","72025"
"11795","9478","7958","00728","40326","9659","1436","72113"
"13689","14160","9696","00729","52244","13147","1552","72029"
"7963","7861","6889","00730","32735","8115","1907","72113"
"3465","3754","2677","00731","13862","3512","454","72113"
"3367","2974","3067","00735","12749","2813","528","72119"
"12609","12899","9967","00736","48476","10865","2136","72035"
"7753","8232","6011","00738","31558","7718","1844","72053"
"9840","10298","6507","00739","37380","9566","1169","72025"
"370","401","285","00740","1517","407","54","72053"
"1488","1332","1025","00741","5168","1084","239","72069"
"13519","14430","10103","00745","52624","12701","1871","72029"
"5389","5467","4628","00751","22174","5824","866","72133"
"10136","10430","7302","00754","38636","9130","1638","72025"
"5895","5919","3696","00757","22475","6182","783","72133"
"2264","2133","1854","00765","8721","2005","465","72147"
"6278","6309","4234","00766","23931","6362","748","72075"
"8553","9387","7266","00767","35042","8409","1427","72151"
"10225","10912","7337","00769","39605","9836","1295","72043"
"10618","9338","7134","00771","37705","9318","1297","72085"
"5627","5460","3471","00772","20784","5469","757","72087"
"4894","4588","4000","00773","18952","4648","822","72089"
"451","303","345","00775","1480","305","76","72049"
"11494","10425","6812","00777","40611","10512","1368","72063"
"13145","12556","7839","00778","46852","11845","1467","72127"
"3097","3145","2064","00780","11679","3041","332","72113"
"4882","4753","3380","00782","18196","4541","640","72045"
"9127","8559","6531","00783","34240","8802","1221","72047"
