zip,city,state,county
601,Adjuntas,PR,72001
602,Aguada,PR,72003
603,Aguadilla,PR,72005
606,Maricao,PR,72093
610,Anasco,PR,72011
612,Arecibo,PR,72013
616,Bajadero,PR,72013
617,Barceloneta,PR,72017
622,Boqueron,PR,72023
623,Cabo Rojo,PR,72023
624,Penuelas,PR,72111
627,Camuy,PR,72027
631,Castaner,PR,72081
637,Sabana Grande,PR,72121
638,Ciales,PR,72039
641,Utuado,PR,72141
646,Dorado,PR,72051
647,Ensenada,PR,72055
650,Florida,PR,72054
652,Garrochales,PR,72013
653,Guanica,PR,72055
656,Guayanilla,PR,72059
659,Hatillo,PR,72065
660,Hormigueros,PR,72067
662,Isabela,PR,72071
664,Jayuya,PR,72073
667,Lajas,PR,72079
669,Lares,PR,72081
670,Las Marias,PR,72083
674,Manati,PR,72091
676,Moca,PR,72099
677,Rincon,PR,72117
678,Quebradillas,PR,72115
680,Mayaguez,PR,72097
682,Mayaguez,PR,72097
683,San German,PR,72125
685,San Sebastian,PR,72131
687,Morovis,PR,72101
688,Sabana Hoyos,PR,72013
690,San Antonio,PR,72005
692,Vega Alta,PR,72143
693,Vega Baja,PR,72145
694,Vega Baja,PR,72145
698,Yauco,PR,72153
703,Aguas Buenas,PR,72007
704,Aguirre,PR,72123
705,Aibonito,PR,72009
707,Maunabo,PR,72095
714,Arroyo,PR,72015
715,Mercedita,PR,72113
716,Ponce,PR,72113
717,Ponce,PR,72113
718,Naguabo,PR,72103
719,Naranjito,PR,72105
720,Orocovis,PR,72107
723,Patillas,PR,72109
725,Caguas,PR,72025
727,Caguas,PR,72025
728,Ponce,PR,72113
729,Canovanas,PR,72029
730,Ponce,PR,72113
731,Ponce,PR,72113
735,Ceiba,PR,72037
736,Cayey,PR,72035
738,Fajardo,PR,72053
739,Cidra,PR,72041
740,Puerto Real,PR,72053
741,Punta Santiago,PR,72069
745,Rio Grande,PR,72119
751,Salinas,PR,72123
754,San Lorenzo,PR,72129
757,Santa Isabel,PR,72133
765,Vieques,PR,72147
766,Villalba,PR,72149
767,Yabucoa,PR,72151
769,Coamo,PR,72043
771,Las Piedras,PR,72085
772,Loiza,PR,72087
773,Luquillo,PR,72089
775,Culebra,PR,72049
777,Juncos,PR,72077
778,Gurabo,PR,72063
780,Coto Laurel,PR,72113
782,Comerio,PR,72045
783,Corozal,PR,72047
784,Guayama,PR,72057
786,La Plata,PR,72009
791,Humacao,PR,72069
794,Barranquitas,PR,72019
795,Juana Diaz,PR,72075
901,San Juan,PR,72127
906,San Juan,PR,72127
907,San Juan,PR,72127
909,San Juan,PR,72127
911,San Juan,PR,72127
912,San Juan,PR,72127
913,San Juan,PR,72127
915,San Juan,PR,72127
917,San Juan,PR,72127
918,San Juan,PR,72127
920,San Juan,PR,72127
921,San Juan,PR,72127
923,San Juan,PR,72127
924,San Juan,PR,72127
925,San Juan,PR,72127
926,San Juan,PR,72127
927,San Juan,PR,72127
934,Fort Buchanan,PR,72061
936,San Juan,PR,72127
949,Toa Baja,PR,72137
950,Toa Baja,PR,72051
951,Toa Baja,PR,72137
952,Sabana Seca,PR,72137
953,Toa Alta,PR,72135
956,Bayamon,PR,72021
957,Bayamon,PR,72021
959,Bayamon,PR,72021
960,Bayamon,PR,72021
961,Bayamon,PR,72021
962,Catano,PR,72033
965,Guaynabo,PR,72061
966,Guaynabo,PR,72061
968,Guaynabo,PR,72061
969,Guaynabo,PR,72061
971,Guaynabo,PR,72061
976,Trujillo Alto,PR,72139
979,Carolina,PR,72031
982,Carolina,PR,72031
983,Carolina,PR,72031
985,Carolina,PR,72031
987,Carolina,PR,72031
1001,Agawam,MA,25013
1002,Amherst,MA,25015
1003,Amherst,MA,25015
1005,Barre,MA,25027
1007,Belchertown,MA,25015
1008,Blandford,MA,25013
1009,Bondsville,MA,25013
1010,Brimfield,MA,25013
1011,Chester,MA,25013
1012,Chesterfield,MA,25015
1013,Chicopee,MA,25013
1020,Chicopee,MA,25013
1022,Chicopee,MA,25013
1026,Cummington,MA,25015
1027,Easthampton,MA,25015
1028,East Longmeadow,MA,25013
1029,East Otis,MA,25003
1030,Feeding Hills,MA,25013
1031,Gilbertville,MA,25027
1032,Goshen,MA,25015
1033,Granby,MA,25015
1034,Granville,MA,25013
1035,Hadley,MA,25015
1036,Hampden,MA,25013
1037,Hardwick,MA,25027
1038,Hatfield,MA,25015
1039,Haydenville,MA,25015
1040,Holyoke,MA,25013
1050,Huntington,MA,25015
1053,Leeds,MA,25015
1054,Leverett,MA,25011
1056,Ludlow,MA,25013
1057,Monson,MA,25013
1060,Northampton,MA,25015
1062,Florence,MA,25015
1063,Northampton,MA,25015
1066,North Hatfield,MA,25015
1068,Oakham,MA,25027
1069,Palmer,MA,25013
1070,Plainfield,MA,25015
1071,Russell,MA,25013
1072,Shutesbury,MA,25011
1073,Southampton,MA,25015
1074,South Barre,MA,25027
1075,South Hadley,MA,25015
1077,Southwick,MA,25013
1079,Thorndike,MA,25013
1080,Three Rivers,MA,25013
1081,Wales,MA,25013
1082,Ware,MA,25015
1083,Warren,MA,25027
1084,West Chesterfield,MA,25015
1085,Westfield,MA,25013
1086,Westfield,MA,25013
1088,West Hatfield,MA,25015
1089,West Springfield,MA,25013
1092,West Warren,MA,25027
1093,Whately,MA,25011
1094,Wheelwright,MA,25027
1095,Wilbraham,MA,25013
1096,Williamsburg,MA,25015
1097,Woronoco,MA,25013
1098,Worthington,MA,25015
1103,Springfield,MA,25013
1104,Springfield,MA,25013
1105,Springfield,MA,25013
1106,Longmeadow,MA,25013
1107,Springfield,MA,25013
1108,Springfield,MA,25013
1109,Springfield,MA,25013
1118,Springfield,MA,25013
1119,Springfield,MA,25013
1128,Springfield,MA,25013
1129,Springfield,MA,25013
1151,Indian Orchard,MA,25013
1199,Springfield,MA,25013
1201,Pittsfield,MA,25003
1220,Adams,MA,25003
1222,Ashley Falls,MA,25003
1223,Becket,MA,25003
1224,Berkshire,MA,25003
1225,Cheshire,MA,25003
1226,Dalton,MA,25003
1229,Glendale,MA,25003
1230,Great Barrington,MA,25003
1235,Hinsdale,MA,25003
1236,Housatonic,MA,25003
1237,Lanesborough,MA,25003
1238,Lee,MA,25003
1240,Lenox,MA,25003
1242,Lenox Dale,MA,25003
1243,Middlefield,MA,25015
1244,Mill River,MA,25003
1245,Monterey,MA,25003
1247,North Adams,MA,25003
1253,Otis,MA,25003
1254,Richmond,MA,25003
1255,Sandisfield,MA,25003
1256,Savoy,MA,25003
1257,Sheffield,MA,25003
1258,South Egremont,MA,25003
1259,Southfield,MA,25003
1260,South Lee,MA,25003
1262,Stockbridge,MA,25003
1264,Tyringham,MA,25003
1266,West Stockbridge,MA,25003
1267,Williamstown,MA,25003
1270,Windsor,MA,25003
1301,Greenfield,MA,25011
1330,Ashfield,MA,25011
1331,Athol,MA,25027
1337,Bernardston,MA,25011
1338,Buckland,MA,25011
1339,Charlemont,MA,25011
1340,Colrain,MA,25011
