id,name,city,state,zip,beds
53391362,LOS ROBLES HOSPITAL & MEDICAL CENTER - EAST CAMPUS,WESTLAKE VILAGE,CA,91362,62
11190023,EAST LOS ANGELES DOCTORS HOSPITAL,LOS ANGELES,CA,90023,127
17090028,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,HOLLYWOOD,CA,90028,100
23691706,KINDRED HOSPITAL BALDWIN PARK,BALDWIN PARK,CA,91706,95
25190712,LAKEWOOD REGIONAL MEDICAL CENTER,LAKEWOOD,CA,90712,172
30791016,MONROVIA MEMORIAL HOSPITAL,MONROVIA,CA,91016,49
30891754,MONTEREY PARK HOSPITAL,MONTEREY PARK,CA,91754,101
47090505,STAR VIEW ADOLESCENT - P H F,TORRANCE,CA,90505,16
9092879,CORONA REGIONAL MEDICAL CENTER-MAGNOLIA,CORONA,CA,92879,78
30696101,MODOC MEDICAL CENTER,ALTURAS,CA,96101,87
38593901,SALINAS VALLEY MEMORIAL HOSPITAL,SALINAS,CA,93901,269
15992866,HEALTHBRIDGE CHILDREN'S HOSPITAL-ORANGE,ORANGE,CA,92866,27
16192680,HEALTHSOUTH TUSTIN REHABILITATION HOSPITAL,TUSTIN,CA,92680,48
23792621,KINDRED HOSPITAL BREA,BREA,CA,92621,86
24392683,KINDRED HOSPITAL WESTMINSTER,WESTMINSTER,CA,92683,109
22093277,KAWEAH DELTA  MENTAL HEALTH HOSPITAL D/P APH,VISALIA,CA,93277,63
5870563,DAUTERIVE HOSPITAL,NEW IBERIA,LA,70563,103
2070364,COMPASS BEHAVIORAL CENTER OF HOUMA,HOUMA,LA,70364,-999
4671360,CENTRAL LOUISIANA STATE HOSPITAL,PINEVILLE,LA,71360,128
15671222,REEVES MEMORIAL MEDICAL CENTER,BERNICE,LA,71222,11
16971241,SERENITY SPRINGS SPECIALTY HOSPITAL,FARMERVILLE,LA,71241,18
15371373,PROMISE HOSPITAL OF MISS-LOU,VIDALIA,LA,71373,40
5371418,CITIZENS MEDICAL CENTER,COLUMBIA,LA,71418,40
2054311,BROWN CTY COMMUNITY TREATMENT CENTER,GREEN BAY,WI,54311,16
