20,40,60,zip,total,0,80
4560,4537,3313,601,17599,4512,677
10353,10751,7735,602,39209,8933,1437
12775,12487,10881,603,50135,11950,2042
1353,1814,1374,606,6304,1515,248
6761,7539,5913,610,27590,6436,941
15103,16165,13304,612,62566,14983,3011
2920,2909,2243,616,10687,1969,646
6605,5979,4842,617,24508,6129,953
1405,2096,1843,622,7405,1486,575
10392,11003,9098,623,42321,9907,1921
6387,5691,4401,624,23238,6171,588
8653,8589,6773,627,32936,7769,1152
408,398,407,631,1555,217,125
5668,5962,5249,637,23610,5703,1028
4280,4299,3620,638,17202,4264,739
6980,7333,6247,641,28332,6640,1132
9376,10376,6925,646,38008,9991,1340
1290,1413,1567,647,5610,1051,289
3716,3651,2879,650,14664,3848,570
886,941,632,652,3681,1057,165
2970,2627,2594,653,11717,3145,381
4762,4955,4125,656,19546,4935,769
10410,11111,8345,659,40978,9534,1578
3550,4211,4183,660,16474,3483,1047
10558,10857,8367,662,41341,9670,1889
3987,3808,2885,664,15396,4181,535
5819,5979,5631,667,24089,5337,1323
6653,7125,5486,669,26510,6252,994
2253,2147,1860,670,8797,2127,410
9916,10614,8447,674,40826,9996,1853
9958,10018,7106,676,37862,9620,1160
3416,3854,3678,677,14569,3107,514
7089,7176,4986,678,26642,6444,947
13042,10781,11072,680,48035,10197,2943
9029,7055,6760,682,32820,8316,1660
7440,7999,7167,683,31627,7350,1671
9266,9456,9119,685,38849,9048,1960
8924,8443,5069,687,31785,8360,989
3589,3166,2749,688,12360,2456,400
1327,1351,1311,690,5587,1256,342
9806,9131,6513,692,36218,9455,1313
14547,14810,10769,693,56327,13573,2628
0,0,77,694,88,0,11
8816,10638,7545,698,37493,8731,1763
7012,7289,5261,703,27137,6500,1075
2215,2053,1299,704,7842,2172,103
6228,6123,4945,705,23831,5501,1034
2472,3108,2528,707,11240,2646,486
4692,4467,3741,714,18363,4762,701
873,802,999,715,3645,890,81
7225,6732,6923,716,29191,6723,1588
